,Unnamed: 0,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_N
0,1,1.0,4583,1508.0,128000,360.0,1.0,6091.0,0,1,0,1,1,0,1,0,1,0,0,1
1,7,3.0,3036,2504.0,158000,360.0,0.0,5540.0,0,1,0,1,1,0,1,0,0,1,0,1
2,9,1.0,12841,10968.0,349000,360.0,1.0,23809.0,0,1,0,1,1,0,1,0,0,1,0,1
3,13,0.0,1853,2840.0,114000,360.0,1.0,4693.0,0,1,1,0,1,0,1,0,1,0,0,1
4,17,0.0,3510,0.0,76000,360.0,0.0,3510.0,1,0,1,0,1,0,1,0,0,0,1,1
5,18,0.0,4887,0.0,133000,360.0,1.0,4887.0,0,1,0,1,0,1,1,0,1,0,0,1
6,20,0.0,7660,0.0,104000,360.0,0.0,7660.0,0,1,0,1,0,1,1,0,0,0,1,1
7,22,0.0,2600,1911.0,116000,360.0,0.0,4511.0,0,1,0,1,0,1,1,0,0,1,0,1
8,28,0.0,1442,0.0,35000,360.0,1.0,1442.0,0,1,1,0,0,1,1,0,0,0,1,1
9,31,0.0,3167,0.0,74000,360.0,1.0,3167.0,0,1,1,0,1,0,1,0,0,0,1,1
10,32,1.0,4692,0.0,106000,360.0,1.0,4692.0,0,1,1,0,1,0,0,1,1,0,0,1
11,34,3.0,12500,3000.0,320000,360.0,1.0,15500.0,0,1,1,0,1,0,1,0,1,0,0,1
12,40,0.0,3600,0.0,80000,360.0,1.0,3600.0,0,1,1,0,1,0,1,0,0,0,1,1
13,48,0.0,2645,3440.0,120000,360.0,0.0,6085.0,1,0,0,1,1,0,1,0,0,0,1,1
14,52,0.0,4230,0.0,112000,360.0,1.0,4230.0,1,0,1,0,1,0,1,0,0,1,0,1
15,53,2.0,4616,0.0,134000,360.0,1.0,4616.0,0,1,0,1,1,0,1,0,0,0,1,1
16,54,1.0,11500,0.0,286000,360.0,0.0,11500.0,1,0,0,1,1,0,0,1,0,0,1,1
17,57,0.0,3366,2200.0,135000,360.0,1.0,5566.0,0,1,0,1,1,0,1,0,1,0,0,1
18,62,0.0,2609,3449.0,165000,180.0,0.0,6058.0,0,1,0,1,0,1,0,1,1,0,0,1
19,64,0.0,4166,0.0,116000,360.0,0.0,4166.0,1,0,1,0,1,0,1,0,0,1,0,1
20,65,0.0,5726,4595.0,258000,360.0,1.0,10321.0,0,1,0,1,1,0,1,0,0,1,0,1
21,66,0.0,3200,2254.0,126000,180.0,0.0,5454.0,0,1,1,0,0,1,1,0,0,0,1,1
22,69,0.0,4300,0.0,136000,360.0,0.0,4300.0,1,0,1,0,1,0,1,0,0,1,0,1
23,75,0.0,3750,0.0,113000,480.0,1.0,3750.0,0,1,1,0,1,0,1,0,0,0,1,1
24,76,0.0,3750,4750.0,176000,360.0,1.0,8500.0,0,1,1,0,1,0,1,0,0,0,1,1
25,77,1.0,1000,3022.0,110000,360.0,1.0,4022.0,0,1,0,1,1,0,0,1,0,0,1,1
26,78,3.0,3167,4000.0,180000,300.0,0.0,7167.0,0,1,0,1,1,0,1,0,0,1,0,1
27,82,2.0,1378,1881.0,167000,360.0,1.0,3259.0,1,0,0,1,1,0,1,0,0,0,1,1
28,108,2.0,3800,3600.0,216000,360.0,0.0,7400.0,0,1,0,1,1,0,1,0,0,0,1,1
29,118,0.0,5568,2142.0,175000,360.0,1.0,7710.0,0,1,0,1,1,0,1,0,1,0,0,1
30,128,1.0,10513,3850.0,160000,180.0,0.0,14363.0,0,1,0,1,1,0,0,1,0,0,1,1
31,135,3.0,4000,7750.0,290000,360.0,1.0,11750.0,0,1,0,1,1,0,1,0,0,1,0,1
32,136,0.0,4583,0.0,84000,360.0,1.0,4583.0,1,0,0,1,1,0,1,0,1,0,0,1
33,138,0.0,14999,0.0,242000,360.0,0.0,14999.0,0,1,1,0,1,0,1,0,0,1,0,1
34,139,2.0,4200,1430.0,129000,360.0,1.0,5630.0,0,1,0,1,0,1,1,0,1,0,0,1
35,140,2.0,5042,2083.0,185000,360.0,1.0,7125.0,0,1,0,1,1,0,1,0,1,0,0,1
36,148,0.0,10000,1666.0,225000,360.0,1.0,11666.0,1,0,1,0,1,0,1,0,1,0,0,1
37,150,0.0,6277,0.0,118000,360.0,0.0,6277.0,0,1,1,0,1,0,1,0,1,0,0,1
38,152,0.0,9166,0.0,244000,360.0,1.0,9166.0,0,1,1,0,1,0,1,0,0,0,1,1
39,153,2.0,2281,0.0,113000,360.0,1.0,2281.0,0,1,0,1,0,1,1,0,1,0,0,1
40,161,0.0,7933,0.0,275000,360.0,1.0,7933.0,0,1,0,1,1,0,1,0,0,0,1,1
41,162,1.0,3089,1280.0,121000,360.0,0.0,4369.0,0,1,0,1,1,0,1,0,0,1,0,1
42,166,0.0,4583,0.0,112000,360.0,1.0,4583.0,1,0,0,1,1,0,1,0,1,0,0,1
43,168,0.0,2237,0.0,63000,480.0,0.0,2237.0,0,1,1,0,1,0,1,0,0,1,0,1
44,172,3.0,3522,0.0,81000,180.0,1.0,3522.0,0,1,0,1,0,1,1,0,1,0,0,1
45,174,0.0,4344,736.0,87000,360.0,1.0,5080.0,0,1,0,1,0,1,0,1,0,1,0,1
46,177,3.0,5516,11300.0,495000,360.0,0.0,16816.0,0,1,0,1,1,0,1,0,0,1,0,1
47,179,0.0,2333,1451.0,102000,480.0,0.0,3784.0,0,1,1,0,0,1,1,0,0,0,1,1
48,180,1.0,6400,7250.0,180000,360.0,0.0,13650.0,0,1,0,1,1,0,1,0,0,0,1,1
49,183,1.0,33846,0.0,260000,360.0,1.0,33846.0,0,1,0,1,1,0,1,0,0,1,0,1
50,186,1.0,2178,0.0,66000,300.0,0.0,2178.0,0,1,0,1,1,0,0,1,1,0,0,1
51,191,0.0,12000,0.0,164000,360.0,1.0,12000.0,0,1,1,0,1,0,1,0,0,1,0,1
52,192,0.0,6033,0.0,160000,360.0,1.0,6033.0,0,1,0,1,0,1,1,0,0,0,1,1
53,195,1.0,3125,2583.0,170000,360.0,1.0,5708.0,0,1,0,1,1,0,1,0,0,1,0,1
54,199,0.0,11000,0.0,83000,360.0,1.0,11000.0,0,1,1,0,1,0,0,1,0,0,1,1
55,209,0.0,3418,0.0,127000,360.0,1.0,3418.0,0,1,1,0,1,0,1,0,0,1,0,1
56,210,0.0,10000,0.0,214000,360.0,1.0,10000.0,1,0,1,0,1,0,1,0,0,1,0,1
57,211,3.0,3430,1250.0,128000,360.0,0.0,4680.0,0,1,0,1,1,0,1,0,0,1,0,1
58,216,0.0,150,1800.0,135000,360.0,1.0,1950.0,0,1,0,1,1,0,1,0,1,0,0,1
59,220,0.0,2221,0.0,60000,360.0,0.0,2221.0,0,1,0,1,1,0,1,0,0,0,1,1
60,225,0.0,3250,0.0,170000,360.0,1.0,3250.0,0,1,0,1,1,0,1,0,1,0,0,1
61,241,1.0,2510,1983.0,140000,180.0,1.0,4493.0,0,1,0,1,0,1,1,0,0,0,1,1
