,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome
1,Male,Yes,1.0,Graduate,No,4583,1508.0,128000,360.0,1.0,Rural,N,6091.0
7,Male,Yes,3.0,Graduate,No,3036,2504.0,158000,360.0,0.0,Semiurban,N,5540.0
9,Male,Yes,1.0,Graduate,No,12841,10968.0,349000,360.0,1.0,Semiurban,N,23809.0
13,Male,No,0.0,Graduate,No,1853,2840.0,114000,360.0,1.0,Rural,N,4693.0
17,Female,No,0.0,Graduate,No,3510,0.0,76000,360.0,0.0,Urban,N,3510.0
18,Male,Yes,0.0,Not Graduate,No,4887,0.0,133000,360.0,1.0,Rural,N,4887.0
20,Male,Yes,0.0,Not Graduate,No,7660,0.0,104000,360.0,0.0,Urban,N,7660.0
22,Male,Yes,0.0,Not Graduate,No,2600,1911.0,116000,360.0,0.0,Semiurban,N,4511.0
28,Male,No,0.0,Not Graduate,No,1442,0.0,35000,360.0,1.0,Urban,N,1442.0
31,Male,No,0.0,Graduate,No,3167,0.0,74000,360.0,1.0,Urban,N,3167.0
32,Male,No,1.0,Graduate,Yes,4692,0.0,106000,360.0,1.0,Rural,N,4692.0
34,Male,No,3.0,Graduate,No,12500,3000.0,320000,360.0,1.0,Rural,N,15500.0
40,Male,No,0.0,Graduate,No,3600,0.0,80000,360.0,1.0,Urban,N,3600.0
48,Female,Yes,0.0,Graduate,No,2645,3440.0,120000,360.0,0.0,Urban,N,6085.0
52,Female,No,0.0,Graduate,No,4230,0.0,112000,360.0,1.0,Semiurban,N,4230.0
53,Male,Yes,2.0,Graduate,No,4616,0.0,134000,360.0,1.0,Urban,N,4616.0
54,Female,Yes,1.0,Graduate,Yes,11500,0.0,286000,360.0,0.0,Urban,N,11500.0
57,Male,Yes,0.0,Graduate,No,3366,2200.0,135000,360.0,1.0,Rural,N,5566.0
62,Male,Yes,0.0,Not Graduate,Yes,2609,3449.0,165000,180.0,0.0,Rural,N,6058.0
64,Female,No,0.0,Graduate,No,4166,0.0,116000,360.0,0.0,Semiurban,N,4166.0
65,Male,Yes,0.0,Graduate,No,5726,4595.0,258000,360.0,1.0,Semiurban,N,10321.0
66,Male,No,0.0,Not Graduate,No,3200,2254.0,126000,180.0,0.0,Urban,N,5454.0
69,Female,No,0.0,Graduate,No,4300,0.0,136000,360.0,0.0,Semiurban,N,4300.0
75,Male,No,0.0,Graduate,No,3750,0.0,113000,480.0,1.0,Urban,N,3750.0
76,Male,No,0.0,Graduate,No,3750,4750.0,176000,360.0,1.0,Urban,N,8500.0
77,Male,Yes,1.0,Graduate,Yes,1000,3022.0,110000,360.0,1.0,Urban,N,4022.0
78,Male,Yes,3.0,Graduate,No,3167,4000.0,180000,300.0,0.0,Semiurban,N,7167.0
82,Female,Yes,2.0,Graduate,No,1378,1881.0,167000,360.0,1.0,Urban,N,3259.0
108,Male,Yes,2.0,Graduate,No,3800,3600.0,216000,360.0,0.0,Urban,N,7400.0
118,Male,Yes,0.0,Graduate,No,5568,2142.0,175000,360.0,1.0,Rural,N,7710.0
128,Male,Yes,1.0,Graduate,Yes,10513,3850.0,160000,180.0,0.0,Urban,N,14363.0
135,Male,Yes,3.0,Graduate,No,4000,7750.0,290000,360.0,1.0,Semiurban,N,11750.0
